algorithm,n,run,time_ms,nodes_explored,path_cost
euclidean,2,13,0.055375,92,47
euclidean,2,14,0.049708,92,47
euclidean,2,15,0.053709,92,47
euclidean,2,16,0.04625,92,47
euclidean,2,17,0.051792,92,47
euclidean,2,18,0.053208,92,47
euclidean,2,19,0.053083,92,47
euclidean,2,20,0.052542,92,47
chebyshev,2,1,0.050416,92,47
chebyshev,2,2,0.047792,92,47
chebyshev,2,3,0.049,92,47
chebyshev,2,4,0.048667,92,47
chebyshev,2,5,0.078375,92,47
chebyshev,2,6,0.049791,92,47
chebyshev,2,7,0.04875,92,47
chebyshev,2,8,0.04825,92,47
chebyshev,2,9,0.048209,92,47
chebyshev,2,10,0.045458,92,47
chebyshev,2,11,0.045583,92,47
chebyshev,2,12,0.048542,92,47
chebyshev,2,13,0.046959,92,47
chebyshev,2,14,0.0515,92,47
chebyshev,2,15,0.049042,92,47
chebyshev,2,16,0.047584,92,47
chebyshev,2,17,0.047791,92,47
chebyshev,2,18,0.046291,92,47
chebyshev,2,19,0.046,92,47
chebyshev,2,20,0.051125,92,47
manhattan,3,1,0.056,92,53
manhattan,3,2,0.057083,92,53
manhattan,3,3,0.048417,92,53
manhattan,3,4,0.04925,92,53
manhattan,3,5,0.0525,92,53
manhattan,3,6,0.05175,92,53
manhattan,3,7,0.051209,92,53
manhattan,3,8,0.052375,92,53
manhattan,3,9,0.052166,92,53
manhattan,3,10,0.056042,92,53
manhattan,3,11,0.0515,92,53
manhattan,3,12,0.053209,92,53
manhattan,3,13,0.054167,92,53
manhattan,3,14,0.052666,92,53
manhattan,3,15,0.051625,92,53
manhattan,3,16,0.052583,92,53
manhattan,3,17,0.049708,92,53
manhattan,3,18,0.053709,92,53
manhattan,3,19,0.052625,92,53
manhattan,3,20,0.05125,92,53
euclidean,3,1,0.047125,93,53
euclidean,3,2,0.055083,93,53
euclidean,3,3,0.051583,93,53
euclidean,3,4,0.053,93,53
euclidean,3,5,0.052333,93,53
euclidean,3,6,0.051708,93,53
euclidean,3,7,0.0525,93,53
euclidean,3,8,0.05275,93,53
euclidean,3,9,0.055875,93,53
euclidean,3,10,0.051209,93,53
euclidean,3,11,0.055625,93,53
euclidean,3,12,0.054667,93,53
euclidean,3,13,0.050167,93,53
euclidean,3,14,0.05025,93,53
euclidean,3,15,0.047167,93,53
euclidean,3,16,0.052292,93,53
euclidean,3,17,0.052917,93,53
euclidean,3,18,0.051125,93,53
euclidean,3,19,0.071292,93,53
euclidean,3,20,0.046625,93,53
chebyshev,3,1,0.050041,93,53
chebyshev,3,2,0.04925,93,53
chebyshev,3,3,0.04775,93,53
chebyshev,3,4,0.046791,93,53
chebyshev,3,5,0.064041,93,53
chebyshev,3,6,0.048042,93,53
chebyshev,3,7,0.047125,93,53
chebyshev,3,8,0.047541,93,53
chebyshev,3,9,0.05,93,53
chebyshev,3,10,0.051833,93,53
chebyshev,3,11,0.048583,93,53
chebyshev,3,12,0.045667,93,53
chebyshev,3,13,0.046,93,53
chebyshev,3,14,0.048709,93,53
chebyshev,3,15,0.049083,93,53
chebyshev,3,16,0.047667,93,53
chebyshev,3,17,0.049125,93,53
chebyshev,3,18,0.045917,93,53
chebyshev,3,19,0.0465,93,53
chebyshev,3,20,0.045542,93,53
manhattan,4,1,0.053917,96,59
manhattan,4,2,0.047333,96,59
manhattan,4,3,0.052458,96,59
manhattan,4,4,0.050583,96,59
manhattan,4,5,0.046709,96,59
manhattan,4,6,0.047958,96,59
manhattan,4,7,0.046917,96,59
manhattan,4,8,0.052583,96,59
manhattan,4,9,0.046791,96,59
manhattan,4,10,0.054042,96,59
manhattan,4,11,0.047667,96,59
manhattan,4,12,0.052417,96,59
