algorithm,n,run,time_ms,nodes_explored,path_cost
euclidean,2,13,0.049333,92,47
euclidean,2,14,0.052334,92,47
euclidean,2,15,0.0475,92,47
euclidean,2,16,0.052459,92,47
euclidean,2,17,0.06925,92,47
euclidean,2,18,0.051209,92,47
euclidean,2,19,0.055125,92,47
euclidean,2,20,0.047291,92,47
chebyshev,2,1,0.04875,92,47
chebyshev,2,2,0.045625,92,47
chebyshev,2,3,0.050958,92,47
chebyshev,2,4,0.045292,92,47
chebyshev,2,5,0.044791,92,47
chebyshev,2,6,0.052,92,47
chebyshev,2,7,0.047209,92,47
chebyshev,2,8,0.046167,92,47
chebyshev,2,9,0.045,92,47
chebyshev,2,10,0.050916,92,47
chebyshev,2,11,0.049666,92,47
chebyshev,2,12,0.047542,92,47
chebyshev,2,13,0.045958,92,47
chebyshev,2,14,0.04875,92,47
chebyshev,2,15,0.047958,92,47
chebyshev,2,16,0.046208,92,47
chebyshev,2,17,0.046291,92,47
chebyshev,2,18,0.0455,92,47
chebyshev,2,19,0.047875,92,47
chebyshev,2,20,0.047208,92,47
manhattan,3,1,0.053625,92,53
manhattan,3,2,0.053292,92,53
manhattan,3,3,0.05025,92,53
manhattan,3,4,0.05475,92,53
manhattan,3,5,0.052,92,53
manhattan,3,6,0.052625,92,53
manhattan,3,7,0.052292,92,53
manhattan,3,8,0.048417,92,53
manhattan,3,9,0.053958,92,53
manhattan,3,10,0.053625,92,53
manhattan,3,11,0.054459,92,53
manhattan,3,12,0.053,92,53
manhattan,3,13,0.052875,92,53
manhattan,3,14,0.049917,92,53
manhattan,3,15,0.05275,92,53
manhattan,3,16,0.051166,92,53
manhattan,3,17,0.051,92,53
manhattan,3,18,0.052917,92,53
manhattan,3,19,0.055542,92,53
manhattan,3,20,0.048625,92,53
euclidean,3,1,0.055666,93,53
euclidean,3,2,0.054291,93,53
euclidean,3,3,0.058291,93,53
euclidean,3,4,0.052958,93,53
euclidean,3,5,0.055958,93,53
euclidean,3,6,0.052791,93,53
euclidean,3,7,0.054375,93,53
euclidean,3,8,0.053875,93,53
euclidean,3,9,0.049916,93,53
euclidean,3,10,0.055334,93,53
euclidean,3,11,0.052083,93,53
euclidean,3,12,0.051166,93,53
euclidean,3,13,0.051667,93,53
euclidean,3,14,0.057458,93,53
euclidean,3,15,0.052458,93,53
euclidean,3,16,0.050708,93,53
euclidean,3,17,0.053292,93,53
euclidean,3,18,0.047875,93,53
euclidean,3,19,0.051042,93,53
euclidean,3,20,0.053708,93,53
chebyshev,3,1,0.04925,93,53
chebyshev,3,2,0.04725,93,53
chebyshev,3,3,0.048208,93,53
chebyshev,3,4,0.049,93,53
chebyshev,3,5,0.049583,93,53
chebyshev,3,6,0.05225,93,53
chebyshev,3,7,0.048042,93,53
chebyshev,3,8,0.051375,93,53
chebyshev,3,9,0.047833,93,53
chebyshev,3,10,0.049333,93,53
chebyshev,3,11,0.048209,93,53
chebyshev,3,12,0.049042,93,53
chebyshev,3,13,0.0485,93,53
chebyshev,3,14,0.048584,93,53
chebyshev,3,15,0.047209,93,53
chebyshev,3,16,0.04775,93,53
chebyshev,3,17,0.048458,93,53
chebyshev,3,18,0.050167,93,53
chebyshev,3,19,0.052917,93,53
chebyshev,3,20,0.051959,93,53
manhattan,4,1,0.0495,96,59
manhattan,4,2,0.052333,96,59
manhattan,4,3,0.062334,96,59
manhattan,4,4,0.053125,96,59
manhattan,4,5,0.052375,96,59
manhattan,4,6,0.054291,96,59
manhattan,4,7,0.04775,96,59
manhattan,4,8,0.052166,96,59
manhattan,4,9,0.052,96,59
manhattan,4,10,0.0545,96,59
manhattan,4,11,0.077709,96,59
manhattan,4,12,0.051833,96,59
manhattan,4,13,0.051875,96,59
manhattan,4,14,0.05175,96,59
manhattan,4,15,0.052875,96,59
manhattan,4,16,0.052917,96,59
manhattan,4,17,0.0555,96,59
manhattan,4,18,0.054084,96,59
manhattan,4,19,0.051875,96,59
manhattan,4,20,0.051084,96,59
euclidean,4,1,0.049417,96,59
euclidean,4,2,0.058125,96,59
euclidean,4,3,0.048708,96,59
euclidean,4,4,0.049084,96,59
euclidean,4,5,0.066208,96,59
euclidean,4,6,0.052708,96,59
euclidean,4,7,0.054542,96,59
euclidean,4,8,0.051417,96,59
euclidean,4,9,0.052792,96,59
euclidean,4,10,0.0485,96,59
euclidean,4,11,0.048334,96,59
euclidean,4,12,0.047166,96,59
euclidean,4,13,0.051208,96,59
euclidean,4,14,0.049917,96,59
euclidean,4,15,0.053084,96,59
euclidean,4,16,0.056333,96,59
euclidean,4,17,0.049125,96,59
euclidean,4,18,0.051375,96,59
euclidean,4,19,0.048375,96,59
euclidean,4,20,0.055666,96,59
chebyshev,4,1,0.047083,96,59
chebyshev,4,2,0.052208,96,59
chebyshev,4,3,0.047083,96,59
chebyshev,4,4,0.050834,96,59
chebyshev,4,5,0.045125,96,59
